	Dog_1	Dog_2	Dog_3	Dog_4	Dog_5	Patient_1	Patient_2	all
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
1c4d8e1dc2c83113b9db234c2eb9d0f2	0.677520661157	0.918044077135	0.858925619835	0.754936376755	0.911239669421	0.65450137741	0.583884297521	0.765578868462
